vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,mileage
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:23,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:24,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:26,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:27,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:28,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:30,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:31,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:32,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:33,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:34,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:35,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:36,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:37,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:38,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:39,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:40,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:41,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:42,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:43,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:44,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:45,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:46,0,214
AD00149,AAA9102149,0,113.933931,27.8277,1,0,0,0,0,2018-09-12 05:28:47,0,214
